CCLE_ID,Many_arm_events,Reversine
DMS114_LUNG,NA,0.86654914
CAL120_BREAST,NA,0.982187031
HCC1428_BREAST,NA,1.462102582
GI1_CENTRAL_NERVOUS_SYSTEM,NA,0.544669292
HCC1438_LUNG,NA,1.006453189
AN3CA_ENDOMETRIUM,NA,0.798088677
GCIY_STOMACH,NA,1.016669298
GMS10_CENTRAL_NERVOUS_SYSTEM,NA,0.965645417
CAS1_CENTRAL_NERVOUS_SYSTEM,NA,0.89283909
DAOY_CENTRAL_NERVOUS_SYSTEM,NA,0.717040028
DMS273_LUNG,NA,1.061343623
COLO783_SKIN,NA,0.954864005
EW8_BONE,NA,0.661315827
COLO741_SKIN,NA,1.26215092
HCC15_LUNG,NA,0.870805577
DU145_PROSTATE,NA,1.025565483
COLO680N_OESOPHAGUS,NA,0.983440125
FTC238_THYROID,NA,0.614002
EFE184_ENDOMETRIUM,NA,0.866259857
CAKI2_KIDNEY,NA,0.732186661
CAL27_UPPER_AERODIGESTIVE_TRACT,NA,0.671421095
COLO679_SKIN,NA,0.933425384
COLO668_LUNG,NA,1.110487086
GB1_CENTRAL_NERVOUS_SYSTEM,NA,1.415111063
253J_URINARY_TRACT,NA,0.618378894
A375_SKIN,NA,0.820631111
G292CLONEA141B1_BONE,NA,1.102071339
HCC1395_BREAST,NA,1.265792169
ES2_OVARY,NA,0.884518733
EKVX_LUNG,NA,0.896157075
FADU_UPPER_AERODIGESTIVE_TRACT,NA,0.741230733
BT549_BREAST,NA,0.950288358
A549_LUNG,NA,0.704683077
639V_URINARY_TRACT,NA,0.722329745
A2058_SKIN,NA,0.704516488
BFTC909_KIDNEY,NA,0.913801624
CORL23_LUNG,NA,0.77426663
CAL62_THYROID,NA,0.916280801
H4_CENTRAL_NERVOUS_SYSTEM,NA,0.613691189
GOS3_CENTRAL_NERVOUS_SYSTEM,NA,0.956327762
HCC38_BREAST,NA,1.178172093
HCC366_LUNG,NA,0.829007125
BC3C_URINARY_TRACT,NA,0.84810999
5637_URINARY_TRACT,NA,0.740942451
COLO829_SKIN,NA,1.110542071
CAL29_URINARY_TRACT,NA,0.865734271
DKMG_CENTRAL_NERVOUS_SYSTEM,NA,0.934318105
HCC1806_BREAST,NA,0.905105902
A704_KIDNEY,NA,1.280079771
CALU6_LUNG,NA,0.915738856
42MGBA_CENTRAL_NERVOUS_SYSTEM,NA,0.802787863
BCPAP_THYROID,NA,0.780269112
253JBV_URINARY_TRACT,NA,0.999284135
CFPAC1_PANCREAS,NA,0.932657906
BFTC905_URINARY_TRACT,NA,0.869045241
BICR56_UPPER_AERODIGESTIVE_TRACT,NA,0.868531956
COLO678_LARGE_INTESTINE,NA,1.035954422
HCC1359_LUNG,NA,0.915545298
HARA_LUNG,NA,0.993101003
HCC827_LUNG,NA,0.735412066
HCC1419_BREAST,NA,1.274879858
CAL33_UPPER_AERODIGESTIVE_TRACT,NA,0.885493391
CAOV3_OVARY,NA,0.635236925
8MGBA_CENTRAL_NERVOUS_SYSTEM,NA,0.747242329
EFM192A_BREAST,NA,1.416098609
BHY_UPPER_AERODIGESTIVE_TRACT,NA,0.87721309
CAL54_KIDNEY,NA,1.196689692
BICR31_UPPER_AERODIGESTIVE_TRACT,NA,0.924594351
CORL105_LUNG,NA,0.899821706
