"Gene","EffectSize","Avg","t_stat","p.value","q.value","log_odds","min_samples","p.left","p.right","q.left","q.right"
"KRT80 (144501)",2.18353429771755,3.08656708439447,11.6197361359435,5.47243166060576e-28,3.74157970395131e-25,52.7465853945439,263,1,2.73621583030288e-28,1,2.49438646930087e-25
"CYFIP2 (26999)",-1.96799328209435,3.67003845471863,-11.5806032163325,7.88610066828395e-28,5.20591417909062e-25,52.387478621196,263,3.94305033414198e-28,1,9.43571944960175e-25,1
"HSPA1A (3303)",2.18759968914365,5.17184418622838,11.5202843396634,1.38305055853208e-27,8.56676536977124e-25,51.835369762834,263,1,6.91525279266039e-28,1,6.01752724830411e-25
"EEF1B2 (1933)",-0.64548014979667,9.5291036179234,-11.5199605030296,1.38722172201686e-27,8.56676536977124e-25,51.8324102763507,263,6.93610861008432e-28,1,1.47538736923838e-24,1
"CLDN4 (1364)",2.92939134467018,4.17061601408088,11.4999080714799,1.67142192061737e-27,9.99928164009344e-25,51.6492515802457,263,1,8.35710960308687e-28,1,6.95602201049978e-25
"SEC31B (25956)",-1.11801751588335,2.46120749876102,-11.4906299322215,1.82183286908358e-27,1.05688389229503e-24,51.5645698259249,263,9.10916434541791e-28,1,1.7438584222868e-24,1
"CUEDC2 (79004)",-0.595632361274312,5.59260644109089,-11.4616047085524,2.38486462054239e-27,1.32936937226613e-24,51.299920919597,263,1.19243231027119e-27,1,1.93866366788811e-24,1
"CLPP (8192)",-0.487240792517246,6.07987912127085,-11.4595637582319,2.43041830491614e-27,1.32936937226613e-24,51.2813268828249,263,1.21520915245807e-27,1,1.93866366788811e-24,1
"PLPP2 (8612)",2.27240616913615,3.82030558894122,11.3910049125238,4.58362727900962e-27,2.39449981403361e-24,50.6578829396978,263,1,2.29181363950481e-27,1,1.828103346445e-24
"RPS3A (6189)",-0.626782675690608,10.774806111908,-11.3899642894572,4.62789872123085e-27,2.39449981403361e-24,50.6484373830993,263,2.31394936061543e-27,1,3.40755742766321e-24,1
"ADGRG1 (9289)",2.21604025923069,4.36513230181471,11.3526160718357,6.5321938214282e-27,3.29085048730057e-24,50.3097802719628,263,1,3.2660969107141e-27,1,2.50104637034843e-24
"HMBOX1 (79618)",-0.726971242579251,3.24059953525125,-11.3188552868568,8.91466010008114e-27,4.37595520399881e-24,50.0042339267602,263,4.45733005004057e-27,1,6.09508046271262e-24,1
"TSPAN6 (7105)",1.6733866494186,3.6084053725866,11.311006904853,9.58218254577424e-27,4.58603256640755e-24,49.933282823129,263,1,4.79109127288712e-27,1,3.52771735877504e-24
"EFNA1 (1942)",1.88785977607332,3.38672858790044,11.3010128643792,1.05045776867071e-26,4.90486915205661e-24,49.8429779256482,263,1,5.25228884335356e-27,1,3.7240673191541e-24
"TNFRSF21 (27242)",1.68455098749573,4.2016369839134,11.2598835057368,1.53256129122973e-26,6.98556032364333e-24,49.4718515997218,263,1,7.66280645614866e-27,1,5.2391702427325e-24
"MET (4233)",2.0993647640284,4.23514269830156,11.2509613364897,1.66324152474822e-26,7.40490598832089e-24,49.3914526816212,263,1,8.31620762374108e-27,1,5.48984409478963e-24
"BCAM (4059)",2.03612668298424,3.90339312273127,11.2030086560695,2.58025262304985e-26,1.12264445944696e-23,48.9600146954905,263,1,1.29012631152492e-26,1,8.23272603594438e-24
"POLH (5429)",-0.711059043051702,3.70780260070375,-11.1948418119903,2.78030576769465e-26,1.18280385814992e-23,48.8866492403959,263,1.39015288384732e-26,1,1.77420578722488e-23,1
"INPP5B (3633)",-0.740802480336407,3.0881238897309,-11.1167701057523,5.66746453985415e-26,2.35865089458626e-23,48.1869739705372,263,2.83373226992707e-26,1,3.39056066096774e-23,1
"LAMB3 (3914)",2.35260601400909,3.93578770666315,11.0821627324319,7.76373963590329e-26,3.16231982105814e-23,47.8777954727216,263,1,3.88186981795164e-26,1,2.39724244499569e-23
"UBE2D3 (7323)",-0.437668308051595,7.58693901870898,-11.064381760903,9.12422142639859e-26,3.63904364556197e-23,47.7191754857886,263,4.5621107131993e-26,1,5.13747338196984e-23,1
"C19orf33 (64073)",3.02526654002638,4.35855822700041,11.0618649786874,9.33503547832122e-26,3.64714120810166e-23,47.6967366680962,263,1,4.66751773916061e-26,1,2.79234248745284e-23
"RPL10A (4736)",-0.509592487557343,10.0937999737686,-11.0130417630504,1.45306108049627e-25,5.56348026500412e-23,47.2620755518581,263,7.26530540248135e-26,1,7.72705592361683e-23,1
"JADE1 (79960)",-0.713889986966651,3.81187645623812,-10.9863412038213,1.84993354657572e-25,6.9441427089501e-23,47.0248762084438,263,9.24966773287858e-26,1,9.31977047780145e-23,1
"RHPN2 (85415)",1.43790598913165,3.52859454659995,10.9828314213871,1.90954503658792e-25,7.03006349623828e-23,46.9937232690524,263,1,9.54772518293958e-26,1,5.53883790612713e-23
"MOB3A (126308)",-0.987617476966184,3.91370731593662,-10.9658352459432,2.2263387702664e-25,8.04170366376982e-23,46.8429531396723,263,1.1131693851332e-25,1,1.0655257354495e-22,1
"DCK (1633)",-0.772701102615591,4.45124913002033,-10.9460107876166,2.6623489786731e-25,9.43852015698479e-23,46.6672793760895,263,1.33117448933655e-25,1,1.21352402018376e-22,1
"DIRC2 (84925)",0.858322142862512,2.86992385743647,10.9043248955502,3.87533920869571e-25,1.34889988747765e-22,46.2985352118209,263,1,1.93766960434785e-25,1,1.0910219678128e-22
"WAS (7454)",-1.89640780700288,1.56017419577797,-10.889365710274,4.43327903225599e-25,1.51554810345551e-22,46.1664263557184,263,2.216639516128e-25,1,1.92887940439793e-22,1
"HSPA1B (3304)",1.18653820780504,6.18749091315245,10.8737896245005,5.0991343413469e-25,1.71259347071482e-22,46.0289915083725,263,1,2.54956717067345e-25,1,1.39454039758207e-22
"EPB41L1 (2036)",1.52894469767227,3.83375194274896,10.8658477935008,5.47597356254454e-25,1.80744892898884e-22,45.9589651396631,263,1,2.73798678127227e-25,1,1.4560005261299e-22
"TRIM35 (23087)",-0.508026155910872,3.13014210316428,-10.8576742925362,5.89270637254379e-25,1.91203340332167e-22,45.8869299341781,263,2.9463531862719e-25,1,2.45239066947779e-22,1
"PERP (64065)",2.01119854169448,4.84045003557968,10.8434637039451,6.6936071731202e-25,2.13570692870355e-22,45.7617702402937,263,1,3.3468035865601e-25,1,1.73165426651639e-22
"CXXC1 (30827)",-0.746916347108845,5.69388827693122,-10.8217751501784,8.12910282831758e-25,2.5512056482838e-22,45.5709493410627,263,4.06455141415879e-25,1,3.24215717802733e-22,1
"TLCD1 (116238)",1.0995455753504,3.60103188858973,10.7870296274485,1.10918730155389e-24,3.42488414531413e-22,45.2657576983419,263,1,5.54593650776944e-25,1,2.79398443433521e-22
"CLDN1 (9076)",2.27897823123763,3.16422518178164,10.7775457846145,1.20724616951461e-24,3.66849534431552e-22,45.1825640273041,263,1,6.03623084757307e-25,1,2.96301547040869e-22
"RAB5IF (55969)",0.599403856698638,6.7835767628945,10.7737870066107,1.24845174392467e-24,3.73443127901467e-22,45.149604412456,263,1,6.24225871962336e-25,1,2.98754502321174e-22
"RBFA (79863)",-0.601578355275095,4.54252522707471,-10.7693125630656,1.29932789236267e-24,3.82087461776369e-22,45.110378922332,263,6.49663946181335e-25,1,4.97486663427819e-22,1
"WNT7B (7477)",1.6608372415253,1.99537516544133,10.7677762049511,1.31726768059133e-24,3.82087461776369e-22,45.0969127460981,263,1,6.58633840295664e-25,1,3.07533810698054e-22
"PTPRF (5792)",1.72986497506202,5.37771989794825,10.7646754868391,1.35422711325369e-24,3.86945132181024e-22,45.06973870086,263,1,6.77113556626844e-25,1,3.08634807811055e-22
"SOWAHC (65124)",1.12470146520096,2.40343488780332,10.7374934676528,1.72563097116621e-24,4.85815872235382e-22,44.8317357634172,263,1,8.62815485583106e-25,1,3.84133480372163e-22
"SLC9B2 (133308)",-1.01057637568069,3.17651169059341,-10.7267963818556,1.89812219984663e-24,5.26632628896579e-22,44.7381789987118,263,9.49061099923317e-25,1,6.98800988343538e-22,1
"WFDC2 (10406)",2.2657116898289,2.06260613479649,10.7249241811609,1.93002598868938e-24,5.27834536106708e-22,44.7218108769044,263,1,9.65012994344692e-25,1,4.19868380993972e-22
"LYPD3 (27076)",1.56581584576912,1.79257750106784,10.6840757789769,2.77528700515045e-24,7.48311189107045e-22,44.3651422102891,263,1,1.38764350257522e-24,1,5.9033438251778e-22
"S100A2 (6273)",2.43937076370963,4.28861382005084,10.6670430947748,3.22827793291843e-24,8.52731973807915e-22,44.2166799814121,263,1,1.61413896645922e-24,1,6.71762529867287e-22
"ADPRM (56985)",-0.558688386283381,2.8894406094269,-10.6662302895412,3.25164198119399e-24,8.52731973807915e-22,44.2095991350698,263,1.625820990597e-24,1,1.15276729792551e-21,1
"WWC1 (23286)",1.72475673343607,3.85567848340586,10.6388582129468,4.14458761566946e-24,1.06036354986738e-21,43.9713476537943,263,1,2.07229380783473e-24,1,8.40282841578181e-22
"B3GNT5 (84002)",1.4106155193712,2.6792735928924,10.6369908792243,4.21370417841127e-24,1.06036354986738e-21,43.9551084653451,263,1,2.10685208920564e-24,1,8.40282841578181e-22
"NDST2 (8509)",-0.607423856105859,3.63709953353784,-10.6361256668246,4.24611566271227e-24,1.06036354986738e-21,43.9475848075992,263,2.12305783135614e-24,1,1.40772402309979e-21,1
"PXK (54899)",-1.0819000373228,3.74641289400534,-10.635626189503,4.26493905870184e-24,1.06036354986738e-21,43.9432416654352,263,2.13246952935092e-24,1,1.40772402309979e-21,1
"IKZF1 (10320)",-1.86815110525863,1.24318280477799,-10.6306071824817,4.45874830699185e-24,1.09433689216733e-21,43.899606848394,263,2.22937415349592e-24,1,1.42263795981753e-21,1
"RPL22L1 (200916)",-1.10413320548807,6.87864420427268,-10.6200756763388,4.89431705397587e-24,1.18603551495334e-21,43.8080901848199,263,2.44715852698793e-24,1,1.51123880131152e-21,1
"SCNN1A (6337)",2.28868683631474,2.95116894105332,10.5932093815602,6.20641116177378e-24,1.48519419101247e-21,43.5748938933004,263,1,3.10320558088689e-24,1,1.20418527161313e-21
"CHMP4C (92421)",1.6707050013834,2.475225199401,10.5896560749443,6.404281323842e-24,1.49788899639682e-21,43.5440803124706,263,1,3.202140661921e-24,1,1.20418527161313e-21
"SFN (2810)",2.63950304650647,4.05483024948822,10.5894499952539,6.41594743546488e-24,1.49788899639682e-21,43.5422934356384,263,1,3.20797371773244e-24,1,1.20418527161313e-21
"CARD10 (29775)",1.46696410915259,3.01873701164274,10.5816977942519,6.87046928302258e-24,1.58467787896607e-21,43.4750920221359,263,1,3.43523464151129e-24,1,1.26469484571331e-21
"RPL29 (6159)",-0.590105501236712,10.1916933961669,-10.5755631014563,7.25270292067552e-24,1.65292553230253e-21,43.4219349563646,263,3.62635146033776e-24,1,2.16946476114707e-21,1
"BAIAP2 (10458)",1.38935961282522,4.31938208628639,10.5704022873067,7.5905613421108e-24,1.7095730156867e-21,43.3772320677942,263,1,3.7952806710554e-24,1,1.37088402201292e-21
"DYM (54808)",-0.621276038275738,3.81218407696594,-10.5676115880602,7.77972208094301e-24,1.72928211468907e-21,43.3530649896246,263,3.8898610404715e-24,1,2.25659090178141e-21,1
"TACSTD2 (4070)",2.62610811260806,2.69154898269376,10.5664658669381,7.85873088058657e-24,1.72928211468907e-21,43.3431444019193,263,1,3.92936544029329e-24,1,1.39303281461064e-21
"AGAP2 (116986)",-1.20783008750322,1.31019399626233,-10.5586825320281,8.41697554014587e-24,1.83107476977901e-21,43.2757684772735,263,4.20848777007294e-24,1,2.36962617265519e-21,1
"P2RY2 (5029)",1.3615331818059,1.50320060381273,10.5456184344246,9.44385042159101e-24,2.03138283675212e-21,43.1627526801098,263,1,4.72192521079551e-24,1,1.64357338609944e-21
"NHLRC1 (378884)",0.766505822349767,1.002446714664,10.5369384376445,1.01939715559807e-23,2.16837101630771e-21,43.0877136043141,263,1,5.09698577799033e-24,1,1.74244099524727e-21
"MAL2 (114569)",2.66500524899127,3.65059341716099,10.5196428551283,1.18695326595119e-23,2.49703662894172e-21,42.9383125359044,263,1,5.93476632975597e-24,1,1.99324853713769e-21
"WFDC3 (140686)",0.963831824531445,1.15835626987202,10.5089372033841,1.30408961572553e-23,2.71364039167931e-21,42.8459163345374,263,1,6.52044807862767e-24,1,2.15219755202152e-21
"SASH3 (54440)",-2.01620422159473,1.18889776786518,-10.503842217958,1.36379959335777e-23,2.80737413067108e-21,42.8019651573283,263,6.81899796678883e-24,1,3.72979705932015e-21,1
"DOCK11 (139818)",-1.20617415155836,2.3152905909322,-10.4558106241641,2.07848941855358e-23,4.23304270519039e-21,42.3883138885907,263,1.03924470927679e-23,1,5.52647242066524e-21,1
"PATJ (10207)",1.25626021928025,2.71395608638458,10.439903525935,2.38909793397428e-23,4.81440956294775e-21,42.2515952782997,263,1,1.19454896698714e-23,1,3.87600769898336e-21
"MAST3 (23031)",-0.603997111363264,1.98675336756928,-10.4362835386219,2.4659855834539e-23,4.91758625100432e-21,42.2205012661329,263,1.23299279172695e-23,1,6.37957135265426e-21,1
"REPS2 (9185)",0.729819544120001,0.949542860156916,10.4032889540186,3.29028746418616e-23,6.49373847570927e-21,41.9374205016229,263,1,1.64514373209308e-23,1,5.24910526786499e-21
"VAPB (9217)",0.521518963403272,5.08492343477795,10.38910523203,3.72387210592457e-23,7.27447016283877e-21,41.8159113695205,263,1,1.86193605296229e-23,1,5.84342685211639e-21
"RPS6 (6194)",-0.652368640723145,10.4895505749609,-10.3829142185496,3.93048226566204e-23,7.53864335360087e-21,41.7629085093031,263,1.96524113283102e-23,1,9.900677959715e-21,1
"MYH14 (79784)",2.00875970443543,2.65232111809095,10.3826991050083,3.93786217801968e-23,7.53864335360087e-21,41.7610672421728,263,1,1.96893108900984e-23,1,6.0795510916136e-21
"ELF3 (1999)",2.57373820925155,3.73551681888003,10.3513386084327,5.17500763875516e-23,9.80894517191375e-21,41.4929067212354,263,1,2.58750381937758e-23,1,7.86272589177213e-21
"NCKAP1L (3071)",-1.81642183929352,1.21951211753038,-10.3493351053489,5.26602865532706e-23,9.85434993287942e-21,41.4757932168277,263,2.63301432766353e-23,1,1.26874755385823e-20,1
"SEPT1 (1731)",-1.54894613039897,1.62556886149676,-10.348554693849,5.30191205122535e-23,9.85434993287942e-21,41.4691276990276,263,2.65095602561267e-23,1,1.26874755385823e-20,1
"BMP2K (55589)",-0.780110909264867,3.25088593638554,-10.3331468348621,6.06222082964663e-23,1.11591495733418e-20,41.337596965331,263,3.03111041482332e-23,1,1.41530677515555e-20,1
"BLOC1S6 (26258)",-0.570308832670837,4.89514506323697,-10.3055432621481,7.70470891384616e-23,1.40475188044448e-20,41.1022816999522,263,3.85235445692308e-23,1,1.75593985055561e-20,1
"UPP1 (7378)",1.67978458612346,4.58632131297588,10.3021493465511,7.93498379546486e-23,1.43308801679603e-20,41.0733780924992,263,1,3.96749189773243e-23,1,1.18677601390921e-20
"DDHD1 (80821)",-0.728174577424301,2.67813732858348,-10.3004466690642,8.05306991901218e-23,1.44082215448195e-20,41.0588799637581,263,4.02653495950609e-23,1,1.79265082011127e-20,1
"SETDB2 (83852)",-0.733606377805289,2.22907976364033,-10.2881757094332,8.95727942781039e-23,1.58776071635187e-20,40.9544411369642,263,4.4786397139052e-23,1,1.94861542461366e-20,1
"ERRFI1 (54206)",1.80837160441695,4.5672031231001,10.2867746651516,9.0667246235248e-23,1.59241629534641e-20,40.9425220427399,263,1,4.5333623117624e-23,1,1.33517981686738e-20
"IFFO1 (25900)",-1.62757441560022,2.34003133887991,-10.2833691917029,9.3383157078385e-23,1.61067578950532e-20,40.9135551905579,263,4.66915785391925e-23,1,1.98636351012067e-20,1
"GPR39 (2863)",1.17210191378489,1.79457836324394,10.2833612546827,9.33895803568172e-23,1.61067578950532e-20,40.9134876859719,263,1,4.66947901784086e-23,1,1.3544319139022e-20
"PIGT (51604)",0.632828163142187,6.51439742172659,10.2808789879306,9.54201012253592e-23,1.63100215880203e-20,40.8923776387877,263,1,4.77100506126796e-23,1,1.36322568496886e-20
"TFAP2C (7022)",1.5410654920544,1.86440170225684,10.275472353609,9.99957234419665e-23,1.6940868403301e-20,40.8464095234001,263,1,4.99978617209833e-23,1,1.40758685998015e-20
"CD53 (963)",-2.1595918319215,1.54008171453369,-10.2685749340714,1.06150409830819e-22,1.78258197000105e-20,40.7877899050368,263,5.30752049154095e-23,1,2.19234321455036e-20,1
"C1orf54 (79630)",-1.10179917561618,1.88919638191088,-10.2669573044598,1.07647441583647e-22,1.79200227971942e-20,40.7740458351335,263,5.38237207918235e-23,1,2.19234321455036e-20,1
"EXOSC9 (5393)",-0.520661534367311,5.35292371528615,-10.2631275273481,1.11275765052724e-22,1.83643383290462e-20,40.7415121772695,263,5.56378825263622e-23,1,2.21902421475975e-20,1
"AGRN (375790)",1.521824765591,5.65975993039281,10.2616560795803,1.12701867968545e-22,1.84407227383746e-20,40.7290144971298,263,1,5.63509339842725e-23,1,1.56345257999263e-20
"COX18 (285521)",-0.477899080504688,3.38325595775999,-10.2401809721914,1.3570243112217e-22,2.2015994418668e-20,40.5467527752979,263,6.78512155610849e-23,1,2.65090545041104e-20,1
"MAP3K13 (9175)",1.07763706658082,4.00251983694044,10.2141691621267,1.69877185177097e-22,2.73288137229441e-20,40.3263295842833,263,1,8.49385925885484e-23,1,2.32294916645024e-20
"C6orf141 (135398)",1.57830010157742,1.86678339959337,10.181833655798,2.24476166643528e-22,3.58114311185308e-20,40.0528436378713,263,1,1.12238083321764e-22,1,3.02631812269275e-20
"ST6GALNAC2 (10610)",1.43533936694748,1.65074262767347,10.1767135259322,2.34591517249843e-22,3.71158678200909e-20,40.0095922032762,263,1,1.17295758624922e-22,1,3.11876389321597e-20
"RAP1GDS1 (5910)",-0.51639005247801,4.82160866517976,-10.1709499532217,2.46520118233443e-22,3.86834519955823e-20,39.9609228868421,263,1.23260059116722e-22,1,4.71938114346103e-20,1
"EPCAM (4072)",2.81576708999377,4.31317183575966,10.1573235786989,2.77169838305839e-22,4.31393445896503e-20,39.8459314904809,263,1,1.3858491915292e-22,1,3.63434204419657e-20
"CFAP97 (57587)",-0.583932608978003,3.89966460083997,-10.1541258579998,2.84893628482509e-22,4.39839001908802e-20,39.818961325263,263,1.42446814241254e-22,1,5.34706237614622e-20,1
"PMEPA1 (56937)",1.85939253128755,3.71389855447848,10.1384385221778,3.2599137314838e-22,4.99262307804207e-20,39.6867343102856,263,1,1.6299568657419e-22,1,4.21674246456256e-20
"MMAA (166785)",-0.470839824374011,1.98922257472708,-10.1361975449413,3.32323808978932e-22,5.0492119040418e-20,39.6678565795156,263,1.66161904489466e-22,1,6.11731442220449e-20,1
"STAU1 (6780)",0.478435409205133,5.8746180848145,10.1235869182473,3.7030255359162e-22,5.58194652437636e-20,39.5616786183053,263,1,1.8515127679581e-22,1,4.72604805730532e-20
"NLRC3 (197358)",-0.964843952483139,0.714128654958439,-10.1215313965077,3.76888802763613e-22,5.63684315633328e-20,39.5443801520907,263,1.88444401381806e-22,1,6.80675400010056e-20,1
"PLEKHG3 (26030)",1.24851531714239,3.251918736617,10.0949745391796,4.73196377110511e-22,7.02238096387878e-20,39.3211014473424,263,1,2.36598188555256e-22,1,5.95978384434449e-20
"IGSF3 (3321)",1.38948125105207,2.63724615339181,10.0804254376496,5.35934044537158e-22,7.89224719124566e-20,39.1989470583787,263,1,2.67967022268579e-22,1,6.66228659001257e-20
"EEF1A1 (1915)",-0.514672870018074,12.9559062026298,-10.0662742741592,6.04857191299533e-22,8.83922600781547e-20,39.0802482473801,263,3.02428595649767e-22,1,1.07216537687391e-19,1
"TESPA1 (9840)",-1.2521213384894,0.739947053770384,-10.0531647747057,6.76523864116836e-22,9.81164610200963e-20,38.9703877258812,263,3.38261932058418e-22,1,1.17739753224116e-19,1
"RASSF1 (11186)",-0.675024707090196,4.642782091983,-10.0401596782675,7.55935171076703e-22,1.08809194850319e-19,38.8614981529401,263,3.77967585538351e-22,1,1.29210918884754e-19,1
"CASP3 (836)",-0.603806097348504,4.70952637105965,-10.0292996633109,8.29284998175434e-22,1.18198430984188e-19,38.7706423831579,263,4.14642499087717e-22,1,1.39261684255004e-19,1
"GPAT3 (84803)",1.41968057916695,2.59704908419509,10.0287029661003,8.3351379977358e-22,1.18198430984188e-19,38.765652303021,263,1,4.1675689988679e-22,1,1.02287103736317e-19
"DOCK2 (1794)",-1.87054415324749,2.0906879460621,-10.0236704465904,8.70041182605361e-22,1.21777344200225e-19,38.7235742074609,263,4.3502059130268e-22,1,1.41385560639245e-19,1
"SUGP2 (10147)",-0.63592927365555,5.60697742194618,-10.0234773555177,8.71473890275327e-22,1.21777344200225e-19,38.721960013148,263,4.35736945137663e-22,1,1.41385560639245e-19,1
"ACAP1 (9744)",-1.54827828691105,2.39261259039315,-10.0199382479115,8.98152109252675e-22,1.24595825938646e-19,38.6923776835786,263,4.49076054626337e-22,1,1.42511477285221e-19,1
"INPP5D (3635)",-1.79560224543255,1.77153408927492,-10.0186334997735,9.0819056773908e-22,1.2508201603451e-19,38.6814734821491,263,4.5409528386954e-22,1,1.42511477285221e-19,1
"KIAA1671 (85379)",1.16081577300858,2.60935560808076,10.0104459081979,9.73774835494158e-22,1.33156753219287e-19,38.6130692012794,263,1,4.86887417747079e-22,1,1.17986996523419e-19
"GRB7 (2886)",1.82859034837741,2.4252156177223,10.0068495246605,1.00404795223908e-21,1.36322652465709e-19,38.5830347929341,263,1,5.0202397611954e-22,1,1.20134337485406e-19
"RASEF (158158)",1.26802158315831,1.6804049814592,9.99736752879853,1.08841456778291e-21,1.4673667947631e-19,38.5038832362453,263,1,5.44207283891454e-22,1,1.2862104003479e-19
"PAK4 (10298)",0.711023037020577,5.06208872980847,9.99474699084099,1.11294682068659e-21,1.48994782763805e-19,38.4820171517722,263,1,5.56473410343297e-22,1,1.29916182531855e-19
"ANKEF1 (63926)",0.866297824002165,1.83723114097371,9.98531103857218,1.20591331418512e-21,1.603194756025e-19,38.4033148134352,263,1,6.02956657092561e-22,1,1.39072316185301e-19
"DSG2 (1829)",1.87870998724479,4.03513514553233,9.97545841113648,1.31121192808858e-21,1.73116145871226e-19,38.3211912590221,263,1,6.55605964044291e-22,1,1.49415721138856e-19
"KBTBD8 (84541)",-0.846855315707759,1.43994594799022,-9.9679188209671,1.39790695348164e-21,1.82647174372398e-19,38.2583847122021,263,6.98953476740821e-22,1,2.15818796108488e-19,1
"TSKU (25987)",1.31254094056368,3.88130961504283,9.96753385597848,1.40248300421764e-21,1.82647174372398e-19,38.2551787344872,263,1,7.0124150210882e-22,1,1.57936086074956e-19
