"Gene","EffectSize","Avg","t_stat","p.value","q.value","log_odds","min_samples","p.left","p.right","q.left","q.right"
"RPL3 (6122)",-0.65620452157576,10.7694870827441,-13.1561366292126,1.89304041574289e-34,1.56375003135065e-30,67.3759458520925,263,9.46520207871444e-35,1,1.04250002090044e-30,1
"RIPK4 (54101)",1.84484177604068,2.40060352248416,13.1289614777435,2.48363210291459e-34,1.56375003135065e-30,67.1088261334404,263,1,1.2418160514573e-34,1,2.37733264890985e-30
"RPL34 (6164)",-0.712887878897775,10.4937519087189,-13.1088134747927,3.03697467917286e-34,1.56375003135065e-30,66.9109608471358,263,1.51848733958643e-34,1,1.04250002090044e-30,1
"RPL17 (6139)",-0.710184753188034,11.1136247724643,-13.1014857460734,3.26734231372891e-34,1.56375003135065e-30,66.839036479124,263,1.63367115686445e-34,1,1.04250002090044e-30,1
"SOX13 (9580)",1.63704440564288,2.90726405619139,12.8147883691684,5.61619806175231e-33,2.15032991388373e-29,64.0412651326391,263,1,2.80809903087616e-33,1,2.68791239235466e-29
"BAIAP2L1 (55971)",1.68730797703115,3.72579497835726,12.7061513572741,1.63613142366034e-32,5.22034999575893e-29,62.9895725321132,263,1,8.18065711830171e-33,1,4.80354482113726e-29
"CTSV (1515)",1.89459890671457,3.1878408610706,12.6626116219904,2.50813033396619e-32,6.00443102642158e-29,62.5694057141214,263,1,1.25406516698309e-32,1,4.80354482113726e-29
"KRT8 (3856)",3.47542448314908,7.06524606443198,12.6625695627743,2.50916465792795e-32,6.00443102642158e-29,62.5690002059184,263,1,1.25458232896397e-32,1,4.80354482113726e-29
"KRT18 (3875)",3.25523132034734,7.07372565323994,12.4849638974698,1.42181274276638e-31,3.02435368305773e-28,60.8630987463082,263,1,7.1090637138319e-32,1,2.2682652622933e-28
"MLF1 (4291)",1.71506865704373,3.22572231219105,12.33483941795,6.09724536741204e-31,1.16725665313736e-27,59.4313841964468,263,1,3.04862268370602e-31,1,8.33754752240972e-28
"KIAA1522 (57648)",1.75544755275519,3.80680596819539,12.3068380998407,7.99115284309779e-31,1.39075118207513e-27,59.1653943697447,263,1,3.99557642154889e-31,1,9.5614143767665e-28
"PPL (5493)",2.075548784022,2.57803034603387,12.2321022911512,1.64224435948572e-30,2.61992716816621e-27,58.4571072477236,263,1,8.21122179742858e-31,1,1.74661811211081e-27
"CELSR1 (9620)",1.69654749340298,2.94614380939356,12.2018942076367,2.19576156506243e-30,3.23351226165809e-27,58.1715011486551,263,1,1.09788078253121e-30,1,2.10178297007776e-27
"TMEM184A (202915)",1.70691146385078,2.25460037668916,12.1593770123888,3.30250074359937e-30,4.51593387396188e-27,57.7701870498676,263,1,1.65125037179969e-30,1,2.87377610161211e-27
"DDR1 (780)",1.92992841079332,5.09726939391394,12.0496162071437,9.43744234516945e-30,1.20446930837283e-26,56.7378217187659,263,1,4.71872117258473e-30,1,7.52793317733017e-27
"KRT15 (3866)",2.09292312723706,2.50543348624805,12.0243821841307,1.20050687564772e-29,1.4364064767125e-26,56.5012311605689,263,1,6.00253437823862e-30,1,8.83942447207693e-27
"TUFT1 (7286)",1.49920411861897,3.62475204246685,11.9767607151055,1.88912351752602e-29,2.12737533055989e-26,56.0555097087801,263,1,9.44561758763012e-30,1,1.29162073641136e-26
"DDX27 (55661)",0.52472074322571,5.70969446684644,11.9365140565035,2.76898453345286e-29,2.9449688838012e-26,55.6796035148578,263,1,1.38449226672643e-29,1,1.76698133028072e-26
"PKP3 (11187)",2.35176698386418,3.34326756876239,11.9044547365565,3.75295025956661e-29,3.78139367206017e-26,55.3806878045411,263,1,1.87647512978331e-29,1,2.24520249278573e-26
"SDC4 (6385)",2.20656476704615,5.14765208751925,11.8903934252576,4.28773301763169e-29,4.10421804447706e-26,55.2497286114241,263,1,2.14386650881585e-29,1,2.41424590851592e-26
"TSPAN15 (23555)",1.94048910691365,3.75917107020509,11.8592129142149,5.7594420888461e-29,5.25041711185094e-26,54.9596496771367,263,1,2.87972104442305e-29,1,3.06274331524638e-26
"ME2 (4200)",-0.942903673395109,4.9670038694378,-11.8062151860552,9.50083180775882e-29,8.08722360029613e-26,54.4676135108229,263,4.75041590387941e-29,1,1.86006142806811e-25,1
"EEF2 (1938)",-0.625765570706557,9.8417074065539,-11.8038390980407,9.71615873416271e-29,8.08722360029613e-26,54.4455836639158,263,4.85807936708135e-29,1,1.86006142806811e-25,1
"LAMA5 (3911)",2.07913932881173,5.4546544407641,11.7320273699706,1.91038000813933e-28,1.52384645315914e-25,53.7810039925016,263,1,9.55190004069664e-29,1,9.6242933883735e-26
"TTLL3 (26140)",-1.07125513384105,3.97321396877372,-11.6858657030032,2.94659621513525e-28,2.25638551770197e-25,53.3550570003464,263,1.47329810756762e-28,1,4.7008031618791e-25,1
"PPP3CC (5533)",-0.917291707769799,3.36600186646363,-11.6683628209645,3.47190188732829e-28,2.55638806657741e-25,53.1938111661309,263,1.73595094366414e-28,1,4.74757783792948e-25,1
"SHTN1 (57698)",1.48052851784497,3.25053387268489,11.6498502181139,4.129114783357e-28,2.92769531157727e-25,53.0234183531677,263,1,2.0645573916785e-28,1,1.97619433531466e-25
