"Gene","EffectSize","Avg","t_stat","p.value","q.value","log_odds","min_samples","p.left","p.right","q.left","q.right"
"DDX27 (55661)",0.490359667270679,5.70969446684644,8.59496621588709,1.01412133868911e-16,1.12874497995951e-12,26.9938607849734,263,1,5.07060669344556e-17,1,9.70716945393219e-13
"RPL22L1 (200916)",-1.15613963534564,6.87864420427268,-8.57513080125703,1.17921539903835e-16,1.12874497995951e-12,26.8507531306802,263,5.89607699519177e-17,1,1.12874497995951e-12,1
"EIF4E (1977)",-0.507023614152557,6.79462055460159,-8.14469271732083,2.9222450863424e-15,1.86478199776463e-11,23.8062742529018,263,1.4611225431712e-15,0.999999999999999,1.39858649832347e-11,1
"CFAP97 (57587)",-0.562731191817425,3.89966460083997,-7.26107289781202,1.43607456238491e-12,6.87305285557417e-09,17.938397785174,263,7.18037281192454e-13,0.999999999999282,4.58203523704945e-09,1
"COX18 (285521)",-0.446571990182725,3.38325595775999,-7.16457190187425,2.73313338903824e-12,1.04646211199496e-08,17.330065350256,263,1.36656669451912e-12,0.999999999998633,6.5403881999685e-09,1
"RTF2 (51507)",0.37530882547262,6.26475199982355,7.04951748853242,5.83510019776441e-12,1.8617859697667e-08,16.6134126924823,263,0.999999999997082,2.91755009888221e-12,1,2.1705566702207e-08
"ACOT8 (10005)",0.430812786026562,4.62603553471784,7.0088709487114,7.61048377300502e-12,1.92938370686285e-08,16.3624952006411,263,0.999999999996195,3.80524188650251e-12,1,2.1705566702207e-08
"RPL17 (6139)",-0.486206456526531,11.1136247724643,-6.99259178146217,8.46191674402623e-12,1.92938370686285e-08,16.2623342091663,263,4.23095837201311e-12,0.999999999995769,1.61994934147638e-08,1
"PRPF6 (24148)",0.41151074250126,5.87380604032834,6.98191530203315,9.07044158052948e-12,1.92938370686285e-08,16.1967485003501,263,0.999999999995465,4.53522079026474e-12,1,2.1705566702207e-08
"RPL34 (6164)",-0.455451200728848,10.4937519087189,-6.82150007575013,2.5490984099949e-11,4.87999399609424e-08,15.2212451001661,263,1.27454920499745e-11,0.999999999987255,4.06666166341187e-08,1
"PIGT (51604)",0.498657144528849,6.51439742172659,6.64914992743751,7.57306903096639e-11,1.31798939571655e-07,14.1941083284456,263,0.999999999962135,3.7865345154832e-11,1,1.44978833528821e-07
"UBE2D3 (7323)",-0.352015911939591,7.58693901870898,-6.62353222622873,8.88657483717925e-11,1.41770490569133e-07,14.0433073154107,263,4.44328741858963e-11,0.999999999955567,1.15240796548648e-07,1
"RAP1GDS1 (5910)",-0.4450923273219,4.82160866517976,-6.61060925720637,9.63149156277881e-11,1.41834826521414e-07,13.9674197306532,263,4.81574578138941e-11,0.999999999951843,1.15240796548648e-07,1
"PPA2 (27068)",-0.440368352506168,6.03151684611066,-6.59068837225248,1.09012467183867e-10,1.49066762269139e-07,13.8506812610246,263,5.45062335919334e-11,0.999999999945494,1.15940815098219e-07,1
"CUEDC2 (79004)",-0.444870938510416,5.59260644109089,-6.53031943620602,1.58366970291097e-10,2.02118485283518e-07,13.4987175577522,263,7.91834851455487e-11,0.999999999920817,1.51588863962638e-07,1
"ATP5F1A (498)",-0.462492660428302,8.52957397441122,-6.51263947393379,1.76578065472629e-10,2.11275655338e-07,13.3961546961633,263,8.82890327363143e-11,0.999999999911711,1.53655022064e-07,1
"CLPP (8192)",-0.347832308844298,6.07987912127085,-6.38837821318907,3.76933719738436e-10,4.12458557224912e-07,12.6819235954058,263,1.88466859869218e-10,0.999999999811533,2.83565258092127e-07,1
"BLCAP (10904)",0.573509331860948,5.75428525885703,6.37718728728348,4.03341157190728e-10,4.12458557224912e-07,12.6181712363712,263,0.999999999798329,2.01670578595364e-10,1,6.43463592771608e-07
