"Gene","EffectSize","Avg","t_stat","p.value","q.value","log_odds","min_samples","p.left","p.right","q.left","q.right"
"MDM4 (4194)",0.300593030921726,-0.0434562619072793,5.70126502865053,1.64677319021792e-07,0.00275916848021012,6.85566471089658,20,0.99999991766134,8.23386595108958e-08,0.99999991766134,0.00137958424010506
"TSG101 (7251)",-0.224203943875867,-0.933034811574491,-4.90395323772922,4.40366673189803e-06,0.0368917180464757,3.94154371053671,20,2.20183336594901e-06,0.999997798166634,0.0368917180464757,0.999997798166634
"MEX3C (51320)",0.152315515034324,0.0103806779222949,4.75033407575442,8.07226827313906e-06,0.0402630959376873,3.40519988840557,20,0.999995963865863,4.03613413656953e-06,0.99999991766134,0.0335525799480727
"FEV (54738)",-0.227656362960183,-0.0310862377904894,-4.65388626039877,1.17500147783177e-05,0.0402630959376873,3.07322738823128,20,5.87500738915886e-06,0.999994124992611,0.0492178744026783,0.999997798166634
"PNO1 (56902)",0.2300987339018,-0.985197067626116,4.64811901686002,1.20152479670807e-05,0.0402630959376873,3.0534968176059,20,0.999993992376016,6.00762398354033e-06,0.99999991766134,0.0335525799480727
"EIF6 (3692)",0.240811956730848,-1.03053227253984,4.44465026895533,2.61603143823931e-05,0.0518817703370832,2.36641383086931,20,0.999986919842809,1.30801571911965e-05,0.99999991766134,0.0463697566673964
"SEMA4D (10507)",-0.134659929058299,-0.0210600097576589,-4.43947971851029,2.66761765432211e-05,0.0518817703370832,2.34918795578391,20,1.33380882716105e-05,0.999986661911728,0.0583669916292186,0.999997798166634
"ATP5D (513)",-0.173877507849659,-0.191727421888827,-4.42789021069565,2.786845318017e-05,0.0518817703370832,2.31062037422189,20,1.3934226590085e-05,0.99998606577341,0.0583669916292186,0.999997798166634
"LRRC8C (84230)",0.246312427567116,0.143363783766522,4.61644456134312,2.76751755699172e-05,0.0518817703370832,2.03080907921143,10,0.999986162412215,1.38375877849586e-05,0.99999991766134,0.0463697566673964
"HAUS1 (115106)",-0.301271614312801,-0.717209134999241,-4.2742705111508,4.94556517503298e-05,0.0683613511709189,1.80517115670307,20,2.47278258751649e-05,0.999975272174125,0.0587433581310272,0.999997798166634
"MLH3 (27030)",-0.104057827184066,0.0790566446266404,-4.26943159461616,5.03480456642735e-05,0.0683613511709189,1.78942744437313,20,2.51740228321368e-05,0.999974825977168,0.0587433581310272,0.999997798166634
"ROR2 (4920)",-0.174734916626665,-0.196206666674464,-4.25454633287005,5.31916008081422e-05,0.0683613511709189,1.74106665267725,20,2.65958004040711e-05,0.999973404199596,0.0587433581310272,0.999997798166634
"FGFR4 (2264)",-0.133205892154912,-0.0643872999459842,-4.21926807507418,6.05625543827618e-05,0.0683613511709189,1.62687134035014,20,3.02812771913809e-05,0.999969718722809,0.0587433581310272,0.999997798166634
"FBXL22 (283807)",0.182361981146076,0.168406394433622,4.46451521691281,4.6043748295921e-05,0.0683613511709189,1.62260783548914,10,0.999976978125852,2.30218741479605e-05,0.99999991766134,0.0642885835581797
